Company Size,Sector,Rating,IT HR Spending (USD),Software Licenses (USD),Cloud Services (USD),Hardware Costs (USD),Telco Costs (USD),Total IT Spending,Total Revenue,IT Spending as % of Revenue
Small,Circular Economy,Normal,41919.21406,55495.91709,58833.47194,24947.61671,20782.61428,34026.29333,348494.0101,9.770987408
Large,E-Mobility,Normal,252457.0771,337509.5915,266881.4146,102422.8776,123749.7283,630716.6132,6824189.868,10.23766746
Small,Renewable Energy,Normal,82520.04753,112191.4588,170924.9428,65091.86709,52871.0076,174482.1306,1593199.021,9.46832275
Small,E-Mobility,High,158616.2282,222522.6109,132018.9429,134402.9868,59548.12708,1063246.766,6076218.926,18.91946229
Large,E-Mobility,Normal,80155.9559,84041.98344,112706.8427,42026.8438,39538.69092,201003.959,1644756.937,10.4192056
Small,Renewable Energy,Normal,82481.1662,101000.6882,122695.3986,50472.63707,37396.18346,322465.651,2326691.37,11.36996713
Medium,Renewable Energy,High,47018.02839,97633.05799,78063.33098,51650.61464,31787.94426,311773.0919,1452413.206,20.04482572
Small,E-Mobility,High,10222.00439,16653.44452,30455.24392,16488.81332,7729.018205,27350.15799,159120.0861,18.68355003
Medium,E-Mobility,Normal,88894.13061,210964.418,257472.97,158690.1795,75863.87133,144973.6231,1120760.251,12.59909602
Medium,Renewable Energy,Normal,172081.7221,250765.6898,168877.6411,118359.6879,111900.5072,521464.5894,4927877.335,10.25860232
Small,Circular Economy,Normal,60187.73981,89639.12045,131180.3069,67159.11017,41010.52915,429789.2599,2964371.496,13.576024
Small,Renewable Energy,Normal,86007.37938,123848.284,136579.1552,119348.9823,71902.9734,482022.6899,2993706.986,14.97596822
Small,E-Mobility,Normal,132759.8331,107525.3662,118151.8531,54006.83734,40512.74383,523357.1209,3692880.61,12.23236789
Medium,Renewable Energy,Normal,58763.0503,154784.2857,137777.4735,87818.44103,60580.74171,345865.2672,2852998.47,12.25140728
Small,Renewable Energy,Normal,187885.7976,139573.6038,205429.7116,100089.5977,63502.37559,280765.1422,3083501.31,9.95008335
Small,E-Mobility,High,105474.6465,122133.506,218511.3487,64490.94525,61632.65297,654433.0964,2873344.144,22.96732152
Small,Renewable Energy,Low,193415.5112,232349.0501,180097.001,86895.11035,93654.38635,238180.1766,3851983.843,5.903087289
Small,Circular Economy,High,100407.1784,49788.49187,118894.1022,40318.21214,35157.20449,124608.8416,489729.75,24.54095375
Medium,Renewable Energy,High,125532.5143,141392.8563,148793.8004,114954.623,72916.63091,1044913.338,4216078.433,25.45223615
Small,Renewable Energy,Normal,58185.13646,134045.0374,187419.7772,112841.7033,37014.29229,502808.8813,3290257.495,15.46601005
Small,Renewable Energy,High,79441.24304,123335.7798,184096.6972,101725.9803,58514.51564,1459246.316,4991726.585,28.27999298
Large,Renewable Energy,High,116184.3479,143920.9779,154626.0508,72118.17535,68351.91365,336085.6247,1386230.613,22.6481524
Medium,Circular Economy,Normal,61565.50465,52539.5648,65515.94483,60185.85125,35632.89938,95362.85883,1022954.353,9.381760857
Medium,E-Mobility,Low,7424.988808,11190.21217,14323.56239,7314.394323,5291.163952,8129.46753,307079.0504,2.127444023
Large,E-Mobility,Normal,-2728.34818,-4900.811685,-6619.044862,-2293.710929,-1494.644066,-7831.916811,-51290.26566,13.93326124
Medium,E-Mobility,Normal,42261.13759,70467.41905,93395.19044,66436.91854,26793.4171,77079.80428,864086.3023,8.692128726
Medium,E-Mobility,Low,47247.8901,98184.625,65991.34496,60837.76288,17992.33185,81527.88255,2114962.514,3.55088282
Large,E-Mobility,High,137111.0942,215885.5068,321154.2395,111188.3522,56727.69126,1612596.404,6268996.167,25.24425403
Large,E-Mobility,Normal,49777.68407,36596.62998,73183.45657,60915.99411,31634.00976,174335.8787,1855486.784,10.95930317
Small,E-Mobility,High,48781.99413,122907.537,121039.0889,45887.62058,51113.58522,943590.8436,3722366.079,23.57608304
Small,Circular Economy,Normal,137619.1387,147578.5833,276815.4576,181759.6589,77255.72059,142657.6908,1355567.16,9.887253288
Small,Renewable Energy,Normal,72940.28011,95533.27192,254887.7594,112273.2643,38339.15392,251489.3689,2139861.126,10.14775585
Small,Renewable Energy,Low,76215.52903,147264.2746,178872.8247,166995.6318,32755.74447,54552.84432,1037392.007,4.860301045
Small,E-Mobility,Normal,126388.8278,94399.2722,112104.4271,62519.71526,39707.09218,307029.6344,3227931.143,8.859567631
Small,E-Mobility,Normal,75635.23903,94551.41233,63283.9609,34629.07309,37817.74223,180179.4757,1622522.695,12.78042019
Medium,Renewable Energy,Normal,-58384.28327,-66984.29066,-91993.91152,-32418.77964,-24036.32846,-249229.1307,-2405163.213,10.6549186
Small,Renewable Energy,Low,171627.1593,169233.1632,295758.1472,95107.48427,44647.81767,472344.524,7734164.536,6.368656965
Medium,Renewable Energy,Normal,72989.27965,153725.3751,170655.6342,77511.04205,38437.26589,369620.2069,2906195.403,12.27664682
Large,Circular Economy,Normal,3910.191637,3849.129507,8902.286422,5259.097674,2827.307266,24081.73945,171991.1199,15.18797117
Small,E-Mobility,High,68631.68539,108317.9822,186655.8702,70456.35194,42554.82054,532773.8436,3280266.118,18.72771391
Small,E-Mobility,High,80700.81724,110930.2563,119593.1977,98148.5106,55305.24332,441941.9692,1837070.181,24.66955521
Small,E-Mobility,High,72019.03071,146371.1319,144211.044,86618.56093,36706.19008,566472.8278,2020400.216,24.03224523
Medium,Circular Economy,Low,29094.11441,41866.55425,48628.69412,38069.64037,25402.74091,64226.20543,1191486.057,5.819212709
Small,Renewable Energy,High,49093.67683,122785.6533,124824.4541,39797.49145,53425.1049,1057661.162,3683423.718,27.00240711
Small,E-Mobility,High,63575.0039,75854.07756,103058.2853,82460.33059,52709.05851,454231.1918,1702042.136,23.67598536
Small,Renewable Energy,Low,134.5298608,339.9941351,317.4013791,182.0617785,86.70950835,80.51456456,5836.221226,1.949973898
Small,E-Mobility,Low,99297.51238,135192.8939,182930.3678,101981.3842,39582.61507,201253.1153,4711665.659,4.87097084
Small,Renewable Energy,High,55748.34889,119628.971,178952.3024,124980.7688,54787.15907,1235731.074,4876673.713,30.97437872
Small,Circular Economy,Normal,159019.2342,183464.3792,259921.2294,121747.7876,39288.22429,757651.2829,6246051.636,12.05832954
Small,E-Mobility,Normal,2512.391176,3655.173533,3954.105972,1827.811565,1161.258804,6774.67406,69618.82321,8.919171125
Small,E-Mobility,High,119804.4591,159908.189,121609.3499,117510.1958,46708.11645,428186.5347,2714297.54,17.38055503
Small,Renewable Energy,High,62111.00523,84196.83436,128205.7715,82458.87168,52668.90683,537723.6332,2124100.224,23.14012113
Small,E-Mobility,Normal,86169.27557,160587.1617,126968.2884,125233.5311,59288.87472,227938.632,1707269.274,14.52739223
Medium,Circular Economy,High,82861.56898,72863.70415,146742.1026,89464.4348,37663.00364,649792.7211,3415112.583,19.094835
Small,Renewable Energy,Normal,151613.8251,131006.6668,237332.1823,88684.70987,92713.91088,554240.8778,4107416.593,14.49949996
Large,E-Mobility,Low,103476.7741,93082.70537,141577.4988,46419.81585,37894.48537,198934.7975,4648750.552,3.551616813
Medium,Renewable Energy,High,66168.29215,88067.26787,94554.85885,33702.60477,12604.63596,435820.0444,1753712.728,28.28763796
Small,Renewable Energy,High,43887.48037,43832.2119,72361.50312,33615.1534,26471.9622,204269.996,1196083.763,19.2243934
Small,E-Mobility,Normal,115083.5263,180470.2298,180603.6554,93690.19899,74836.87866,184478.135,2096158.015,7.679865838
Small,Renewable Energy,Normal,44572.83324,85686.75401,170850.0142,76339.43304,33687.47305,330668.5312,3944859.929,8.775455735
Small,Renewable Energy,Low,71522.27986,82073.25481,158057.5363,101347.4594,45661.989,117962.1847,2432545.086,5.436215352
Small,Renewable Energy,Normal,152005.2157,152514.7641,142158.3062,92766.77039,82759.31551,119457.4165,935606.8317,14.5631444
Medium,Circular Economy,High,61797.74972,71336.18751,102626.2631,116884.5977,27054.89551,220813.0953,1231253.567,17.18462675
Medium,Circular Economy,High,93805.91284,76126.09263,182446.183,101191.1032,43003.57543,1159509.677,4170387.653,26.37256425
Medium,Circular Economy,Normal,99120.62055,95855.0868,140819.1064,68192.87118,70281.17438,137066.2026,977728.0919,12.23480283
Medium,E-Mobility,Low,101257.2516,118418.7257,118179.1768,90940.6016,24679.73548,83245.02847,1716897.98,5.11713504
Small,Renewable Energy,Low,191724.5775,216780.2763,182190.0968,107156.9507,76543.36899,221019.9126,5420315.446,4.35658112
Small,E-Mobility,High,33504.23195,117290.2906,85869.22174,42412.27523,32004.24843,301514.6125,1273913.105,22.71555855
Medium,E-Mobility,Normal,145720.1592,146140.3276,126804.0881,117035.2247,63310.81307,284315.3716,2126549.847,10.57260238
Medium,Circular Economy,Low,162652.485,123214.4666,159513.529,133396.0877,41490.8682,44449.52678,2105621.641,2.067004967
Small,Circular Economy,High,34683.31827,67943.38358,100001.4617,57508.14891,24064.51296,218099.3779,1345735.582,17.83758975
Small,Renewable Energy,High,77654.9287,188699.7591,213443.4136,91787.78109,83098.20247,970654.2835,3970519.198,23.01769295
Small,E-Mobility,High,72080.06994,56951.6805,106668.575,59944.83183,26111.38893,124472.7839,660896.3185,18.15883577
Medium,E-Mobility,Low,177458.4406,145425.1389,213902.3589,111155.5303,67684.35692,241661.0981,7793594.462,3.067683902
Small,Renewable Energy,Low,95595.05995,89889.40463,202914.2762,97713.44372,75308.06373,38068.10815,2724091.249,1.99268927
Small,Circular Economy,Low,77422.04617,104936.5587,195128.3262,112525.6021,75524.2432,117901.6247,2383716.129,4.80230727
Small,Circular Economy,Normal,136715.8871,134072.6353,214103.6697,97615.25607,25718.24324,758392.2617,5188387.948,14.71115606
Large,Circular Economy,Normal,118365.8983,130951.6829,119665.0117,141382.4555,81273.90219,649521.3214,4959464.25,12.73780317
Small,Circular Economy,Normal,46563.93321,75572.53953,55972.8906,41014.06891,12381.03661,295647.2827,2133643.883,12.96036969
Small,Renewable Energy,High,31792.40325,45677.30954,65546.5763,38331.30518,20914.50172,415115.1247,1987566.653,17.95052551
Small,Renewable Energy,Low,121592.2675,187012.157,147724.4212,81420.44763,52246.25214,36985.3734,2328086.995,2.126084952
Small,Renewable Energy,Low,44001.34876,119331.9454,169059.0209,51428.98784,63047.18124,213635.1042,3871649.717,6.184999193
Medium,Renewable Energy,High,25954.9608,41115.8006,33164.2641,12919.83693,12364.05153,246351.8555,1200999.149,21.09237222
Small,Renewable Energy,High,235789.5339,263546.5314,310603.7128,95744.61844,47725.41724,774459.1445,4280926.283,18.58173909
Small,Circular Economy,Normal,81177.15643,139024.1949,148965.0906,125689.9962,89552.45499,310931.8593,3680723.205,7.788400634
Small,Circular Economy,Normal,72377.12342,61919.09994,134337.2393,87966.0408,38147.82502,459466.1381,3122020.397,13.24698435
Small,E-Mobility,Normal,144416.794,146466.0791,117475.0615,70121.27529,70346.98141,312324.3051,3247270.023,9.784272178
Medium,Circular Economy,High,205685.589,201457.3454,172749.8264,102290.0425,69867.95664,1564235.611,6275990.705,23.24388662
Medium,E-Mobility,High,84508.31597,136071.83,153899.5186,92792.96208,62159.24563,1193371.518,5199595.464,23.11672362
Large,Circular Economy,High,74374.96565,59483.77695,62426.9989,29829.8906,34358.78731,320410.2866,1484044.221,19.68906248
Small,Circular Economy,High,53451.88454,59225.40868,68296.768,51473.64933,28324.0546,492808.7374,1889887.285,24.73185606
Medium,Renewable Energy,Normal,128027.3909,228478.0083,338373.9455,114412.1338,157699.2691,193939.3079,1816939.802,8.982033091
Medium,Circular Economy,Low,34914.01148,53074.41733,80204.16947,58540.66553,15003.96661,69869.2393,1563837.374,4.158984623
Small,E-Mobility,Low,197798.4705,214032.9047,174011.9684,67243.43637,67910.10334,181403.6582,2747996.282,7.472197287
Large,Renewable Energy,Normal,105262.1569,115140.4198,224273.8929,154999.9069,76131.62992,288033.0792,2758763.182,11.58199355
Small,Renewable Energy,Normal,91876.29449,75019.08109,155705.2838,64706.46678,24692.94327,239291.1266,1903494.895,13.3058314
Medium,Circular Economy,Normal,24793.31421,52277.24198,32745.59739,31883.94016,8789.619874,189127.2918,1354515.627,12.00711761
Medium,Renewable Energy,High,194263.5562,162695.515,276027.8254,207863.7351,113358.7769,736621.2079,3261310.379,19.97017259
Small,E-Mobility,High,10961.71359,22364.03016,23805.66551,15871.93912,10031.78537,120530.4443,511640.931,25.92493006
Small,E-Mobility,High,88726.09996,89862.09911,189719.8438,103136.9215,68223.56768,332442.5555,1383370.502,24.93170949
Medium,E-Mobility,High,30432.18786,67632.61135,49043.89205,38699.57464,14038.20554,87913.43883,466393.3751,20.34210604
Small,E-Mobility,High,-4456.042677,-6778.262108,-12729.35312,-4760.100303,-3874.035,-56836.52369,-210032.3517,30.68416281
Small,Renewable Energy,Normal,126463.7388,250006.0362,230445.6117,149480.1569,54774.46566,347555.9666,3898885.951,8.313492731
Small,E-Mobility,Normal,54853.02253,82302.53339,132222.57,63953.08101,26633.1052,326549.2774,3712657.764,7.538334646
Medium,E-Mobility,Normal,164701.0245,218864.2071,206535.3892,116359.7019,57720.96807,339882.1792,2515051.389,13.55588098
Small,E-Mobility,Low,230697.1602,157359.2843,200908.7575,205770.3435,119123.0824,408844.7356,7176155.074,6.079287063
Small,Circular Economy,High,114079.2102,177446.5372,125375.1106,121414.8977,87881.38412,1396687.962,5590293.245,26.64222772
Small,Circular Economy,Normal,13007.45694,15929.52211,22028.71728,12408.89617,10275.77486,17336.89695,186409.2924,8.993037762
Medium,Renewable Energy,High,-8326.035087,-21294.95583,-21171.42575,-12138.94664,-3007.906848,-111980.1778,-408160.0754,26.78483441
Medium,E-Mobility,High,69118.81954,70074.00964,104113.9371,44182.47142,43038.63219,499376.636,2081442.786,24.73300845
Medium,Renewable Energy,High,108151.6014,95468.89532,119050.4668,73579.56391,66378.31978,758064.146,3783751.729,19.39068183
Small,Circular Economy,Normal,44168.46192,82120.8433,102072.4493,35910.7649,48800.51235,98798.10361,768638.8998,13.20998653
Large,Circular Economy,Low,107726.3102,119064.348,256137.213,164648.8308,60531.88034,334671.8621,7584383.907,5.243110999
Medium,Renewable Energy,Low,163592.0654,110432.7437,154764.2979,88995.033,67664.90624,134858.4875,5112940.522,3.130918112
Small,Circular Economy,Normal,66425.52334,122541.2685,169293.9781,83233.08553,88253.12603,316021.8188,3725084.635,8.145201714
Large,E-Mobility,High,-3875.282691,-7362.95229,-8029.739871,-3565.185322,-1846.760627,-18005.53662,-61568.81104,26.50443759
Small,Circular Economy,High,75446.16361,119912.3097,123079.6514,94651.84047,28932.80024,425617.4771,1515787.52,28.48031482
Large,E-Mobility,Low,125509.0112,127987.661,249203.4564,71128.98444,73819.98966,210792.7605,5250362.846,3.755000022
Medium,Circular Economy,Normal,185346.6782,232726.7649,206388.1163,134501.9709,90982.72159,402038.239,4342147.721,9.529439964
Large,Circular Economy,High,80702.22867,115341.9977,127683.3628,54350.44564,32322.85106,403478.2604,1659141.184,26.21197512
Large,Renewable Energy,Normal,135131.3305,125063.9858,97284.64355,58089.91835,62415.52342,170840.1977,2115401.069,7.565700916
Small,Circular Economy,Normal,75298.52411,59683.53062,51431.92516,54909.2605,34564.10054,71559.38634,576589.4989,12.0178777
Small,Renewable Energy,Normal,103732.3758,88504.26485,133807.5513,124252.4604,32982.13704,556924.4123,5464176.708,10.64791505
Small,E-Mobility,High,50657.8945,108129.9612,88245.9249,99029.61133,28268.06232,462424.0578,1623807.256,30.07724147
Large,Renewable Energy,Low,58625.40348,45973.74167,98566.71278,33550.93957,30798.1401,63195.14828,1403180.453,4.816297276
Small,Circular Economy,Low,95640.94157,82534.65455,135238.3161,122551.4716,50657.58939,272444.1873,5347591.112,5.580231522
Small,E-Mobility,Normal,93537.10473,137056.4346,151124.9791,116868.5293,86779.85157,456406.7774,3334474.187,12.49296054
Medium,Renewable Energy,Normal,219898.0342,199393.0095,337627.3894,186614.0396,48550.7102,699620.8342,5239659.554,12.97998877
Small,Renewable Energy,High,41253.67093,94444.81171,78649.32201,68716.44681,38508.6608,696097.2238,2589546.646,28.18520133
Large,Renewable Energy,High,110655.8368,146920.5453,219827.3428,156844.4698,96667.03453,655689.7312,2294376.429,24.14242401
Small,Renewable Energy,High,233884.5733,140857.559,355801.8779,216100.386,55031.39751,1743847.199,7804153.998,21.18922646
Medium,Circular Economy,Normal,224760.0313,163791.9665,313848.2886,114526.8929,64007.00916,760151.6789,7018841.533,10.33362257
Small,E-Mobility,High,89435.88792,157547.7963,177317.784,136893.7911,80189.11775,1003375.105,4076369.994,21.96896033
Small,Renewable Energy,High,99815.01832,76062.85607,110547.2032,45672.4913,27349.66926,600464.6795,1919542.931,29.91005674
Medium,Renewable Energy,Normal,46505.07441,87614.08677,114848.1237,55032.36709,31735.43358,276776.8331,2370322.733,12.39752162
Small,Renewable Energy,Normal,42079.85202,129281.2119,117503.3298,73815.81891,38582.06212,319427.0357,2751120.948,11.50628646
Small,Circular Economy,Normal,90611.89757,238656.0301,270193.7384,104564.6643,74184.92782,340376.0509,3641721.742,9.480389918
Small,Circular Economy,Low,89639.96349,155430.314,165715.8998,83501.32223,41218.62983,265863.8451,5736819.382,5.204495386
Small,Renewable Energy,Normal,87732.16688,67760.08926,138460.5219,72252.81687,54926.9278,188166.8696,1153607.345,15.29727522
Large,Renewable Energy,High,39933.25194,50159.1185,44988.65044,38764.49543,19316.53485,262322.3735,1031436.796,24.20369732
Medium,E-Mobility,Normal,12551.75395,20111.79869,29024.14483,16521.82307,15590.55285,114145.0708,864826.3081,12.44977643
Medium,E-Mobility,High,117544.0245,132868.4775,213454.1455,136084.0372,55405.35758,1155634.514,3754794.723,29.88152397
Medium,Circular Economy,Normal,228416.3973,171314.5717,336548.8458,110321.6035,77719.57469,693444.1219,7147956.743,10.58447561
Small,Renewable Energy,Normal,108794.2424,130757.248,181555.1928,70275.32287,53226.77357,610997.5568,5172560.387,10.94390734
Small,Circular Economy,High,116123.013,151328.6853,148772.3179,119484.3315,73954.98724,792910.6119,2299054.055,32.17041622
Large,Renewable Energy,Normal,183308.1683,151346.7492,136178.786,103402.9239,37737.95884,635063.0711,5418156.117,13.53741603
Small,E-Mobility,Normal,36852.9141,54756.22606,67829.03538,50585.12635,25001.17102,67657.28873,641202.9156,9.213505371
Small,E-Mobility,High,31674.16266,55117.26968,110628.4824,39786.46018,28003.34792,254089.7206,992257.8975,23.68431601
Small,Circular Economy,Normal,89708.87131,109375.5981,101562.1583,59020.57672,23548.3546,140196.3929,1263839.163,10.49714941
Large,Circular Economy,Low,69218.63318,99233.44006,138267.543,78327.86417,50752.35305,119641.1281,3418960.891,4.050946227
Small,Circular Economy,High,48627.39723,90399.6813,101445.9962,36848.72557,35768.55418,544547.0678,1862682.726,27.81957167
Small,E-Mobility,High,34414.50597,55593.91608,56860.91628,17473.30706,22908.741,91228.03874,389730.6588,23.38908743
Medium,Renewable Energy,Low,99517.75931,135982.4234,119968.7712,116123.1304,70300.98474,21279.97726,2044500.368,1.024267995
Small,Renewable Energy,Normal,113968.6326,317628.4062,338378.146,165982.6666,153493.2097,996553.4636,9083132.456,10.53299233
Medium,Circular Economy,Normal,110567.3288,115788.0758,83660.20148,54833.65001,55241.19912,476594.2762,3439653.798,14.2139659
Small,Renewable Energy,Low,136995.7769,110756.3941,244590.3297,110234.3053,43155.59093,62495.75754,4210150.253,0.963437272
Small,Renewable Energy,Normal,148012.9839,216560.1779,291342.9187,107258.9916,107025.4919,1016088.327,7282813.052,13.37163843
Small,Circular Economy,High,37728.2526,83781.57299,108242.652,86300.15892,55921.3224,457275.2369,2721874.688,16.45813568
Small,E-Mobility,Low,60018.16231,61992.50486,94920.74379,74164.34272,29935.22223,34135.88621,1163096.45,2.943688883
Small,Circular Economy,Normal,172634.7319,215657.1357,279419.9538,126011.4523,65608.58954,511296.894,4513783.052,10.97314359
Small,Circular Economy,High,153098.42,209686.2594,317738.1219,159290.5519,125082.8375,542404.636,2889471.19,19.22368301
Small,Circular Economy,Normal,133954.6711,180603.2955,253863.173,69546.13203,85989.69753,882386.0919,6358899.785,10.60256256
Large,Renewable Energy,High,40585.28721,98182.98477,101721.7667,79065.59689,34620.16441,204531.0166,1006166.96,17.2731145
Small,Circular Economy,Normal,94711.35224,115128.1866,76113.17401,38917.26372,21308.74439,111702.8905,1247868.805,9.804215011
Small,Circular Economy,Normal,98379.73093,161351.704,292521.4192,146716.4859,51254.76588,1003698.674,8613169.801,12.90303722
Small,E-Mobility,High,-23703.1644,-22976.25201,-25564.67035,-15479.44366,-6418.069676,-54835.06594,-338993.9431,17.97399752
Small,E-Mobility,High,34068.33119,30004.60161,46572.24497,29615.56128,12504.70341,324440.2648,1399312.896,25.20349577
Medium,Circular Economy,Low,22473.98504,54088.42956,38597.59546,42195.85126,17985.43512,24360.33133,486182.589,6.448509093
Small,E-Mobility,Low,73605.67503,99463.46387,166533.514,96839.93125,34628.21677,43814.81888,1603276.026,1.868703147
Large,Circular Economy,Low,64760.92142,113762.7766,103715.2995,74134.20822,60890.12053,30885.48499,2090502.18,1.019698761
Small,E-Mobility,High,-3163.808857,-4194.622544,-8354.268389,-4770.410694,-1759.172725,-54947.45288,-172664.0563,26.87681943
Medium,Circular Economy,Normal,114813.2067,73290.9594,154917.9715,82764.38088,57122.59483,192452.3657,2014052.42,10.72245144
Medium,E-Mobility,Normal,29864.58703,48250.20154,43825.92228,35631.75195,17559.76606,47807.32569,556713.5083,8.638600125
Medium,Renewable Energy,Normal,31550.66537,84994.43771,99876.58034,34544.87822,32415.42652,158963.3135,1221384.707,12.52429275
Large,E-Mobility,Normal,43752.11474,85729.10964,96979.0289,52988.21663,32564.9154,395892.9399,3019089.28,13.63314729
Medium,E-Mobility,Normal,9170.447463,7625.707388,13896.76407,5386.030729,4914.600175,49469.59091,373113.4061,12.50667352
Medium,Circular Economy,Normal,250903.9482,197712.7705,283481.2142,209731.9195,43549.08987,870487.6897,6017163.241,14.7712165
Medium,E-Mobility,Normal,53101.90993,105374.0166,118343.3666,63671.85912,45245.73249,150244.9827,1096343.737,14.34439544
Small,E-Mobility,High,92653.43795,160037.1341,156325.5941,84620.71789,26461.85529,796164.6457,4315650.126,17.47405605
Small,Renewable Energy,High,56409.03225,67252.28038,66493.67913,44400.37746,16731.40195,443156.4151,1805760.742,25.49369746
Small,Circular Economy,Normal,3236.772253,4008.862212,3072.901538,2694.014501,1134.0636,10618.73078,71511.91369,14.75105073
Small,Renewable Energy,Normal,76143.56061,65431.71871,84673.58921,43507.9817,16395.63553,161552.1627,1479882.976,10.53063029
Small,Circular Economy,Low,85217.38768,92043.79184,79671.24894,53505.18205,19993.94479,184363.1713,2679413.906,7.337864334
Small,Circular Economy,High,35372.54053,87243.84395,65445.06768,47146.34807,38675.93228,412499.0482,1371259.658,30.0212875
Medium,Circular Economy,High,157463.7702,221930.9097,211217.6201,220255.5642,65699.31013,482400.9752,1669748.397,31.68545806
Large,E-Mobility,High,39010.03003,32446.65906,70001.77351,29874.30366,11495.28857,79747.95837,304525.4446,24.47777123
Small,Circular Economy,Normal,219887.4756,136982.1853,244322.8432,170175.7102,78932.31637,954266.0903,6855154.497,12.28655286
Small,Renewable Energy,Low,133296.868,93442.05044,198103.751,85509.44255,38143.40665,107464.8325,3986423.938,2.945755784
Small,E-Mobility,Low,217392.8798,215686.553,294218.7473,148286.8923,60239.21763,197303.2975,3650772.631,5.358892748
Medium,Circular Economy,Normal,86749.68367,284067.4693,258606.9589,176655.1972,71374.60497,303746.2272,2805199.084,9.994376766
Medium,Circular Economy,Normal,57243.51395,87409.72277,81731.46601,57809.04378,31952.58272,269731.6822,2495784.926,8.965812142
Large,E-Mobility,Low,182123.7921,162717.8877,233290.563,112306.3725,50290.34427,301645.856,6233886.572,5.02234882
Large,Renewable Energy,High,71837.32111,89028.06669,134141.2567,109110.9888,31436.26277,407594.5035,2153521.285,20.53528124
Small,Renewable Energy,Low,2096.618746,6450.678065,6088.787627,2028.443227,2883.240484,9300.859065,174174.1726,5.001931973
Small,E-Mobility,Low,95400.22073,102097.3709,96857.00855,76349.18976,39293.4662,67149.85704,1546946.715,4.189062354
Small,E-Mobility,Low,60108.02492,136401.8493,160794.0731,139036.5014,34631.4743,228456.8875,5878308.931,4.861857663
Medium,E-Mobility,High,16392.10444,59016.55338,47671.20256,32374.35345,17373.60289,149098.7073,970607.8665,14.50159534
Medium,E-Mobility,High,25928.41939,45585.2027,83824.6336,31244.85315,15009.02657,170012.2764,633388.4028,26.45337787
Medium,E-Mobility,High,113938.0204,176002.5566,205564.4034,107139.8707,31677.16035,569190.2005,2703947.818,19.9529103
Small,Circular Economy,Low,141463.7446,213338.098,319515.3442,150299.7185,81941.30199,166595.1485,4212428.468,3.788192576
Small,Renewable Energy,High,-24778.90111,-23081.08759,-29809.67489,-11431.5708,-5548.163807,-92152.33255,-327372.4082,30.60039402
Small,E-Mobility,High,36446.49366,66926.74953,65550.96672,46518.78538,26995.0806,498160.5112,1886130.208,25.50016414
Small,Circular Economy,High,184509.5681,189016.4079,200525.8099,137649.5509,60055.50711,534804.9421,3130937.122,16.94611863
Small,E-Mobility,Normal,72832.45327,140304.9159,111739.6808,104322.8247,33876.00857,363269.4471,2466305.983,14.33795309
Medium,Renewable Energy,Normal,241809.2162,169613.8029,233777.1484,96689.74307,120533.3581,1065757.748,8400610.906,13.70432902
Small,Renewable Energy,Normal,188225.6762,107819.6226,211475.3131,146630.974,84640.68952,428059.459,3426367.287,13.76657751
Small,Renewable Energy,Low,214499.2872,156011.113,249594.9811,136847.1,52469.57677,151134.2587,2777247.162,5.379988001
Small,Renewable Energy,High,152966.2609,279321.2829,340075.4726,194959.1334,55600.75448,1803662.452,8914503.368,19.65062017
Small,Circular Economy,High,153668.0388,292614.1549,318244.0491,167664.712,98268.41604,803784.4089,2617011.337,30.10169149
Large,Renewable Energy,Low,115301.6991,141386.6788,195345.2932,123141.8296,64070.47064,193648.2535,4820871.484,3.832094488
Small,E-Mobility,Low,101121.8598,204746.6268,179604.5931,206090.9459,124785.4878,234603.675,6337051.804,4.274454263
Medium,Renewable Energy,Normal,67376.92671,64015.84296,83123.64062,55044.46619,47507.58614,104161.7173,1022551.415,10.07102224
Small,Circular Economy,High,53970.46955,63296.67882,115693.601,62521.73206,23731.3747,575323.7183,2623544.66,22.22615887
Small,Renewable Energy,High,30827.97062,76550.62271,106145.3265,60667.99562,31979.19694,744011.3999,2617227.936,27.89483548
Small,E-Mobility,Low,47014.36712,37908.65029,50208.52296,44744.22175,27566.8903,19530.90333,281412.9608,7.312615922
Small,Circular Economy,Normal,84997.92314,166547.3513,115944.8483,93806.24409,61431.61534,420536.6076,3576597.062,12.38513647
Medium,Circular Economy,Normal,134787.4235,141481.0956,167899.7286,127656.5836,25512.3473,166286.0201,1719306.576,8.536636692
Small,E-Mobility,Low,111777.7556,127543.611,109093.4652,105609.3043,32526.19283,210507.4793,3125885.78,5.854794863
Medium,Renewable Energy,Normal,145835.0803,106534.1235,160552.5119,137229.6821,49647.60914,146164.2926,1442794.319,10.99775994
Medium,Renewable Energy,High,131443.3253,148993.6111,106920.1769,82219.14348,56693.63954,311405.3968,1556648.532,18.96080333
Small,Renewable Energy,Normal,136526.2811,101156.9066,176578.2101,83781.35861,39182.58785,265808.0846,2278655.159,10.37487274
Small,Renewable Energy,High,86811.40046,226349.8997,218378.3892,159174.3643,110988.9839,945212.3,3522353.933,23.3806284
Medium,Renewable Energy,High,-7422.601164,-10338.44552,-7043.542753,-6840.369745,-4271.158328,-56601.51013,-231204.6318,26.43462517
Small,Renewable Energy,Low,37010.62968,38701.75258,74939.08166,45830.37321,19980.23069,91413.72645,1153028.999,6.898506526
Medium,Renewable Energy,Normal,110103.7861,122367.8841,190239.2069,106238.2647,86333.33969,567742.7008,4720254.738,12.4549746
